Title,Price,Location,Amenities,Type,Agent,Link,Date
 Luxurious 3 Bedroom Apartment ,"₦ 350,000,000",Ikate Lekki Phase 1 Lekki Lagos, 3 Beds 3 Baths ,Luxurious 3 Bedroom Apartment,"
               TORY'S REALTY 
             ",/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-phase-1-lekki-lagos-0NSAS," Updated 31 Oct 2025, Added 19 Oct 2025"
 4 Bedroom Semi Detached Duplex With Bq ,"₦ 280,000,000",Ikate Lekki Phase 1 Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Semi Detached Duplex With Bq,"
               TORY'S REALTY 
             ",/property/4-bedroom-house-for-sale-ikate-lekki-phase-1-lekki-lagos-7NRZQ," Updated 31 Oct 2025, Added 18 Oct 2025"
 4 Bedroom Terrace Duplex With Bq ,"₦ 160,000,000","Abiola's Court, Osapa London, Lekki Phase 1 Lekki Lagos", 4 Beds 4 Baths ,4 Bedroom Terrace Duplex With Bq,"
               TORY'S REALTY 
             ",/property/4-bedroom-house-for-sale-abiolas-court-osapa-london-lekki-phase-1-lekki-lagos-5NRVS," Updated 31 Oct 2025, Added 17 Oct 2025"
 3 Bedroom Terrace Duplex ,"₦ 90,000,000",Ajah Lekki Phase 2 Lekki Lagos, 3 Beds 3 Baths ,3 Bedroom Terrace Duplex,"
               TORY'S REALTY 
             ",/property/3-bedroom-house-for-sale-ajah-lekki-phase-2-lekki-lagos-3NRWE," Updated 31 Oct 2025, Added 17 Oct 2025"
 Luxuriously Designed Fully Detached 4bedroom Duplex ," ₦ 385,000,000 ","Yemoja Estate, Oluyole Estate Oluyole Estate Ibadan Oyo", 4 Beds 5 Baths ,Luxuriously Designed Fully Detached 4bedroom Duplex,"
               RokenProperties Ltd 
             ",/property/4-bedroom-house-for-sale-yemoja-estate-oluyole-estate-oluyole-estate-ibadan-oyo-8NREQ,"Updated 31 Oct 2025, Added 12 Oct 2025"
 2 Bedroom Apartment With Bq. ,"₦ 150,000,000",Ikate Lekki Phase 1 Lekki Lagos, 2 Beds 2 Baths ,2 Bedroom Apartment With Bq.,"
               TORY'S REALTY 
             ",/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-phase-1-lekki-lagos-0NRZR," Updated 31 Oct 2025, Added 18 Oct 2025"
 4 Bedroom Fully Detached Duplex With Bq ,"₦ 220,000,000",Ajah Lekki Phase 2 Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Fully Detached Duplex With Bq,"
               TORY'S REALTY 
             ",/property/4-bedroom-house-for-sale-ajah-lekki-phase-2-lekki-lagos-0NRXN," Updated 31 Oct 2025, Added 17 Oct 2025"
 Luxurious 4 Bedroom Furnished Detached Duplex ,"₦ 350,000,000",Osapa London Lekki Phase 1 Lekki Lagos, 4 Beds 4 Baths ,Luxurious 4 Bedroom Furnished Detached Duplex,"
               TORY'S REALTY 
             ",/property/4-bedroom-house-for-sale-osapa-london-lekki-phase-1-lekki-lagos-8NSXF," Updated 31 Oct 2025, Added 27 Oct 2025"
 4 Bedroom Terrace Duplex ,"₦ 100,000,000",Orchid Lekki Phase 2 Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Terrace Duplex,"
               TORY'S REALTY 
             ",/property/4-bedroom-house-for-sale-orchid-lekki-phase-2-lekki-lagos-2NRZP," Updated 31 Oct 2025, Added 18 Oct 2025"
 3 Bedroom Apartment ,"₦ 120,000,000",Chervon Drive Lekki Phase 2 Lekki Lagos, 3 Beds 3 Baths ,3 Bedroom Apartment,"
               TORY'S REALTY 
             ",/property/3-bedroom-flat-apartment-for-sale-chervon-drive-lekki-phase-2-lekki-lagos-6NRVS," Updated 31 Oct 2025, Added 17 Oct 2025"
 Furnished 2 Bedroom Flat With Bq ,"₦ 340,000,000",Lekki Phase 1 Lekki Lagos, 2 Beds 2 Baths ,Furnished 2 Bedroom Flat With Bq,"
               TORY'S REALTY 
             ",/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-5NRXR," Updated 31 Oct 2025, Added 17 Oct 2025"
 3 Bedroom Terrace Duplex With Private Compound ,"₦ 75,000,000",Ajah Lekki Phase 2 Lekki Lagos, 3 Beds 3 Baths ,3 Bedroom Terrace Duplex With Private Compound,"
               TORY'S REALTY 
             ",/property/3-bedroom-house-for-sale-ajah-lekki-phase-2-lekki-lagos-8NRXQ," Updated 31 Oct 2025, Added 17 Oct 2025"
 4 Bedroom Semi Detached Duplex With Bq ,"₦ 200,000,000","Ikota, Lekki Phase 2 Lekki Lagos", 4 Beds 4 Baths ,4 Bedroom Semi Detached Duplex With Bq,"
               TORY'S REALTY 
             ",/property/4-bedroom-house-for-sale-ikota-lekki-phase-2-lekki-lagos-6NRWF," Updated 31 Oct 2025, Added 17 Oct 2025"
 Luxury 2 Bedroom Apartment ,"₦ 280,000,000",Lekki Phase 1 Lekki Lagos, 2 Beds 2 Baths ,Luxury 2 Bedroom Apartment,"
               TORY'S REALTY 
             ",/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-3NRWH," Updated 31 Oct 2025, Added 17 Oct 2025"
 Exquisitely 4 Bedroom Detached Duplex ,"₦ 490,000,000",Opebi Ikeja Lagos, 4 Beds 4 Baths ,Exquisitely 4 Bedroom Detached Duplex,"
               TORY'S REALTY 
             ",/property/4-bedroom-house-for-sale-opebi-ikeja-lagos-9NSAL," Updated 31 Oct 2025, Added 19 Oct 2025"
 2 Bedroom Apartment ,"₦ 200,000,000",Lekki Phase 1 Lekki Phase 1 Lekki Lagos, 2 Beds 2 Baths ,2 Bedroom Apartment,"
               TORY'S REALTY 
             ",/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-phase-1-lekki-lagos-7NRYN," Updated 31 Oct 2025, Added 18 Oct 2025"
 5 Bedroom Detached Duplex ," ₦ 750,000,000 ",Chevron Lekki Lagos, 5 Beds 5 Baths ,5 Bedroom Detached Duplex,"
               Dibah Mercy 
             ",/property/5-bedroom-house-for-sale-chevron-lekki-lagos-9NPHV,"Updated 31 Oct 2025, Added 24 Sep 2025"
 3 Bedroom Waterview Apartment ,"₦ 55,000,000/year",Banana Island Road Banana Island Ikoyi Lagos, 3 Beds 3 Baths ,3 Bedroom Waterview Apartment,"
               Manor Realtors 
             ",/property/3-bedroom-flat-apartment-for-sale-banana-island-road-banana-island-ikoyi-lagos-6NPCN," Updated 31 Oct 2025, Added 22 Sep 2025"
 4 Bedroom Terrace Duplex ,"₦ 100,000,000",Orchid Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Terrace Duplex,"
               Manor Realtors 
             ",/property/4-bedroom-house-for-sale-orchid-lekki-lagos-1NSFG," Updated 31 Oct 2025, Added 21 Oct 2025"
 3 Bedroom Duplex ,"₦ 150,000,000","The Emerald Off Abraham Adesanya Junction, Lekki Epe Expressway. Ogombo Ajah Lagos", 3 Beds 3 Baths ,3 Bedroom Duplex,"
               Gerrymandy Realtors 
             ",/property/3-bedroom-house-for-sale-the-emerald-off-abraham-adesanya-junction-lekki-epe-expressway-ogombo-ajah-lagos-2NEKS," Updated 31 Oct 2025, Added 05 Jul 2025"
 2 Bedroom Apartment ,"₦ 230,000,000",Lekki Phase 1 Lekki Lagos, 2 Beds ,2 Bedroom Apartment,"
               Gerrymandy Realtors 
             ",/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-5NCXG," Updated 31 Oct 2025, Added 23 Jun 2025"
 Land ,"₦ 38,000,000",Directly Along Lekki Epe Expressway Ibeju Lekki Lagos, ,Land,"
               Gerrymandy Realtors 
             ",/property/land-for-sale-directly-along-lekki-epe-expressway-ibeju-lekki-lagos-6NCXE," Updated 31 Oct 2025, Added 23 Jun 2025"
 Fully Automated Smart Duplexes ,"₦ 240,000,000",Lekki Lagos, ,Fully Automated Smart Duplexes,"
               Gerrymandy Realtors 
             ",/property/house-for-sale-lekki-lagos-8NCXC," Updated 31 Oct 2025, Added 23 Jun 2025"
 1 Bedroom Apartment ,"₦ 60,000,000","Beside Royal Garden Estate, Ajiwe, Ajah Lagos", 1 Beds ,1 Bedroom Apartment,"
               Gerrymandy Realtors 
             ",/property/1-bedroom-flat-apartment-for-sale-beside-royal-garden-estate-ajiwe-ajah-lagos-0NCXG," Updated 31 Oct 2025, Added 23 Jun 2025"
 Land Measuring 500sqm ,"₦ 25,000,000",Zental Gardens Besides Lekki Avana 2 Eleranigbe Ibeju Lekki Lagos, ,Land Measuring 500sqm,"
               Gerrymandy Realtors 
             ",/property/land-for-sale-zental-gardens-besides-lekki-avana-2-eleranigbe-ibeju-lekki-lagos-0NRCG," Updated 31 Oct 2025, Added 10 Oct 2025"
 4 Bedroom Terrace Duplex With Bq ,"₦ 300,000,000",Mabushi Abuja, 4 Beds 5 Baths ,4 Bedroom Terrace Duplex With Bq,"
               . 
             ",/property/4-bedroom-house-for-sale-mabushi-abuja-6NQYN," Updated 31 Oct 2025, Added 09 Oct 2025"
 Seaview 3 Bedroom Apartment ," ₦ 210,000/day ","Tokunbo Omisore, Lekki Phase 1 By Admiralty Way Lekki Lagos", 3 Beds 3 Baths ,Seaview 3 Bedroom Apartment,"
               TUPON LUXURY 
             ",/property/3-bedroom-flat-apartment-for-shortlet-tokunbo-omisore-lekki-phase-1-by-admiralty-way-lekki-lagos-7MSQN,"Updated 31 Oct 2025, Added 29 Mar 2025"
 4 Bedroom Detached Duplex With Bq ,"₦ 400,000,000",Mabushi Abuja, 4 Beds 5 Baths ,4 Bedroom Detached Duplex With Bq,"
               . 
             ",/property/4-bedroom-house-for-sale-mabushi-abuja-6NQYP," Updated 31 Oct 2025, Added 09 Oct 2025"
 4 Bedroom Terraced Duplex ,"₦ 185,000,000",Galadinmawa Abuja, 4 Beds 5 Baths ,4 Bedroom Terraced Duplex,"
               . 
             ",/property/4-bedroom-house-for-sale-galadinmawa-abuja-1NQVJ," Updated 31 Oct 2025, Added 08 Oct 2025"
 4 Bedroom Terraced Duplex ,"₦ 280,000,000",Guzape Abuja, 4 Beds 5 Baths ,4 Bedroom Terraced Duplex,"
               . 
             ",/property/4-bedroom-house-for-sale-guzape-abuja-9NRHA," Updated 31 Oct 2025, Added 13 Oct 2025"
 3 Bedroom Bungalow ,"₦ 80,000,000",Lokogoma Abuja, 3 Beds 4 Baths ,3 Bedroom Bungalow,"
               . 
             ",/property/3-bedroom-house-for-sale-lokogoma-abuja-3NQVH," Updated 31 Oct 2025, Added 08 Oct 2025"
 4 Bedroom Townhouse With Bq ,"₦ 150,000,000",Dawaki Abuja, 4 Beds 5 Baths ,4 Bedroom Townhouse With Bq,"
               . 
             ",/property/4-bedroom-house-for-sale-dawaki-abuja-6NRBD," Updated 31 Oct 2025, Added 10 Oct 2025"
 4 Bedroom Terrace Duplex With Bq ,"₦ 330,000,000",Mabushi Abuja, 4 Beds 5 Baths ,4 Bedroom Terrace Duplex With Bq,"
               . 
             ",/property/4-bedroom-house-for-sale-mabushi-abuja-7NRBC," Updated 31 Oct 2025, Added 10 Oct 2025"
 5 Bedroom Terraced Duplex ,"₦ 400,000,000",Mabushi Abuja, 5 Beds 6 Baths ,5 Bedroom Terraced Duplex,"
               . 
             ",/property/5-bedroom-house-for-sale-mabushi-abuja-1NRHT," Updated 31 Oct 2025, Added 13 Oct 2025"
 4 Bedroom Detached Duplex ,"₦ 150,000,000",Kubwa Abuja, 4 Beds 5 Baths ,4 Bedroom Detached Duplex,"
               . 
             ",/property/4-bedroom-house-for-sale-kubwa-abuja-8NQWK," Updated 31 Oct 2025, Added 08 Oct 2025"
 6 Bedroom Penthouse ,"$ 3,000,000",Mekwen Ikoyi Lagos, 6 Beds 6 Baths ,6 Bedroom Penthouse,"
               Pearlfield Concepts 
             ",/property/6-bedroom-flat-apartment-for-sale-mekwen-ikoyi-lagos-3NMEP," Updated 31 Oct 2025, Added 03 Sep 2025"
 7450sqm Of Land ,"₦ 1,500,000,000","Amuwo Odofin Industrial Estate, Amuwo Odofin Amuwo Odofin Lagos", ,7450sqm Of Land,"
               Pearlfield Concepts 
             ",/property/land-for-sale-amuwo-odofin-industrial-estate-amuwo-odofin-amuwo-odofin-lagos-6NRPE," Updated 31 Oct 2025, Added 15 Oct 2025"
 6 Bedroom Detached Duplex ,"₦ 1,300,000,000",Off Fola Osibo Lekki Phase 1 Lekki Lagos, 6 Beds 6 Baths ,6 Bedroom Detached Duplex,"
               Pearlfield Concepts 
             ",/property/6-bedroom-house-for-sale-off-fola-osibo-lekki-phase-1-lekki-lagos-0NNCX," Updated 31 Oct 2025, Added 12 Sep 2025"
 Block Of Flat ," ₦ 350,000,000 ",Ajah Lagos, ,Block Of Flat,"
               ZWE LIMITED 
             ",/property/house-for-sale-ajah-lagos-7NRYX,"Updated 31 Oct 2025, Added 18 Oct 2025"
 5 Bedroom Fully Detached Duplex With Bq ,"₦ 480,000,000",Toll Gate Chevron Lekki Lagos, 5 Beds 5 Baths ,5 Bedroom Fully Detached Duplex With Bq,"
               Pearlfield Concepts 
             ",/property/5-bedroom-house-for-sale-toll-gate-chevron-lekki-lagos-5NLHT," Updated 31 Oct 2025, Added 27 Aug 2025"
 4 Bedroom Townhouse ,"$ 750,000",Mekwen Ikoyi Lagos, 4 Beds 4 Baths ,4 Bedroom Townhouse,"
               Pearlfield Concepts 
             ",/property/4-bedroom-house-for-sale-mekwen-ikoyi-lagos-4NMEN," Updated 31 Oct 2025, Added 03 Sep 2025"
 Land ,"₦ 900,000/sqm",Osborne Phase 2 Osborne Foreshore Estate Ikoyi Lagos, ,Land,"
               Pearlfield Concepts 
             ",/property/land-for-sale-osborne-phase-2-osborne-foreshore-estate-ikoyi-lagos-8NLYA," Updated 31 Oct 2025, Added 01 Sep 2025"
 Newly Built 5 Bedroom Fully Detached Smart Duplex ,"₦ 800,000,000",Ikate Lekki Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Fully Detached Smart Duplex,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-ikate-lekki-lagos-5NRMC," Updated 31 Oct 2025, Added 14 Oct 2025"
 Newly Built 6 Bedroom Fully Detached Duplex ,"₦ 750,000,000",Chevron Lekki Lagos, 6 Beds 6 Baths ,Newly Built 6 Bedroom Fully Detached Duplex,"
               Martin Doks 
             ",/property/6-bedroom-house-for-sale-chevron-lekki-lagos-8NSLQ," Updated 31 Oct 2025, Added 23 Oct 2025"
 Newly Built 5 Bedroom Fully Detached Duplex With Bq ,"₦ 360,000,000",Chevron Lekki Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Fully Detached Duplex With Bq,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-chevron-lekki-lagos-3NSMH," Updated 31 Oct 2025, Added 23 Oct 2025"
 5 Bedroom Fully Detached Smart Duplex ,"₦ 1,300,000,000",Lekki Phase 1 Lekki Lagos, 5 Beds 5 Baths ,5 Bedroom Fully Detached Smart Duplex,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-5NSJG," Updated 31 Oct 2025, Added 22 Oct 2025"
 Newly Built 4 Bedroom Semi Detached Duplex ,"₦ 700,000,000",Ikate Lekki Lagos, 4 Beds 4 Baths ,Newly Built 4 Bedroom Semi Detached Duplex,"
               Martin Doks 
             ",/property/4-bedroom-house-for-sale-ikate-lekki-lagos-1NSDZ," Updated 31 Oct 2025, Added 21 Oct 2025"
 Newly Built 5 Bedroom Duplex ,"₦ 400,000,000",Chevron Lekki Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Duplex,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-chevron-lekki-lagos-4NSJM," Updated 31 Oct 2025, Added 22 Oct 2025"
 Distress 6units Of 4 Bedroom Terrace Duplex With Bq ," ₦ 2,200,000,000 ",Linder Chucker Crescent Close To Minister's House Asokoro Abuja, ,Distress 6units Of 4 Bedroom Terrace Duplex With Bq,"
               Shedrack Luka 
             ",/property/house-for-sale-linder-chucker-crescent-close-to-ministers-house-asokoro-abuja-2NQHR,"Updated 31 Oct 2025, Added 03 Oct 2025"
 Newly Built 6 Bedroom Fully Detached Duplex ,"₦ 750,000,000",Chevron Lekki Lagos, 6 Beds 6 Baths ,Newly Built 6 Bedroom Fully Detached Duplex,"
               Martin Doks 
             ",/property/6-bedroom-house-for-sale-chevron-lekki-lagos-6NSLR," Updated 31 Oct 2025, Added 23 Oct 2025"
 4 Bedroom Apartment With Bq ,"₦ 400,000,000",Victoria Island Lagos, 4 Beds 4 Baths ,4 Bedroom Apartment With Bq,"
               Martin Doks 
             ",/property/4-bedroom-flat-apartment-for-sale-victoria-island-lagos-1NSWF," Updated 31 Oct 2025, Added 27 Oct 2025"
 Newly Built 5 Bedroom Fully Detached Duplex ,"₦ 520,000,000",Chevron Lekki Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Fully Detached Duplex,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-chevron-lekki-lagos-6NSLP," Updated 31 Oct 2025, Added 23 Oct 2025"
 4 Bedroom Terrace Duplex ,"₦ 400,000,000",Lekki Phase 1 Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Terrace Duplex,"
               Martin Doks 
             ",/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-6NSDW," Updated 31 Oct 2025, Added 21 Oct 2025"
 Newly Built 5 Bedroom Fully Detached Duplex ,"₦ 2,300,000,000",Ikoyi Lagos, 5 Beds 5 Baths ,Newly Built 5 Bedroom Fully Detached Duplex,"
               Martin Doks 
             ",/property/5-bedroom-house-for-sale-ikoyi-lagos-5NTFQ," Updated 31 Oct 2025, Added 31 Oct 2025"
 4 Bedroom Terraced Duplex With Bq ,"₦ 230,000,000",Ikate Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Terraced Duplex With Bq,"
               Martin Doks 
             ",/property/4-bedroom-house-for-sale-ikate-lekki-lagos-8NSJR," Updated 31 Oct 2025, Added 22 Oct 2025"
 Newly Built 4 Bedroom Detached Duplex ,"₦ 140,000,000",Ado Ajah Lagos, 4 Beds 4 Baths ,Newly Built 4 Bedroom Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ado-ajah-lagos-8NRYR," Updated 31 Oct 2025, Added 18 Oct 2025"
 4 Bedroom Semi Detached Duplex ,"₦ 130,000,000",Chevron Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Semi Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-chevron-lekki-lagos-7MGEJ," Updated 31 Oct 2025, Added 12 Dec 2024"
 4 Bedroom Fully Detached Duplex ,"₦ 145,000,000",Ado Ajah Lagos, 4 Beds 4 Baths ,4 Bedroom Fully Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ado-ajah-lagos-6MCHV," Updated 31 Oct 2025, Added 31 Oct 2024"
 Newly Built 4 Bedroom Semi Detached Duplex ,"₦ 190,000,000",Ologolo Lekki Lagos, 4 Beds 4 Baths ,Newly Built 4 Bedroom Semi Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-9NRCX," Updated 31 Oct 2025, Added 11 Oct 2025"
 5 Bedroom Semi Detached Duplex ,"₦ 350,000,000",Ikeja Lagos, 5 Beds 5 Baths ,5 Bedroom Semi Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/5-bedroom-house-for-sale-ikeja-lagos-2MCHZ," Updated 31 Oct 2025, Added 31 Oct 2024"
 Luxury 4 Bedroom Terrace Duplex +bq & Inverter ," ₦ 150,000,000 ",By Berger Clinic/fct Minister’s House Life Camp Abuja, 5 Beds 6 Baths ,Luxury 4 Bedroom Terrace Duplex +bq & Inverter,"
               BEVIKS REALTY 
             ",/property/5-bedroom-house-for-sale-by-berger-clinic-fct-ministers-house-life-camp-abuja-7NQXZ,"Updated 01 Nov 2025, Added 09 Oct 2025"
 4 Bedroom Semi Detached House With Bq ,"₦ 230,000,000",Maryland Ikeja Lagos, 4 Beds 4 Baths ,4 Bedroom Semi Detached House With Bq,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-maryland-ikeja-lagos-2MGEZ," Updated 31 Oct 2025, Added 12 Dec 2024"
 5 Bedroom Fully Detached Duplex ,"₦ 420,000,000",Ikota Lekki Lagos, 5 Beds 5 Baths ,5 Bedroom Fully Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/5-bedroom-house-for-sale-ikota-lekki-lagos-2MGEV," Updated 31 Oct 2025, Added 12 Dec 2024"
 5 Bedroom Fully Detached Duplex ,"₦ 700,000,000",Ajah Lagos, 5 Beds 5 Baths ,5 Bedroom Fully Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/5-bedroom-house-for-sale-ajah-lagos-3MGEY," Updated 31 Oct 2025, Added 12 Dec 2024"
 4 Bedroom Terraced Duplex ,"₦ 750,000,000",Ikoyi Lagos, 4 Beds 4 Baths ,4 Bedroom Terraced Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ikoyi-lagos-1MCHY," Updated 31 Oct 2025, Added 31 Oct 2024"
 4 Bedroom Semi Detached Duplex ,"₦ 170,000,000",Ikota Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Semi Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ikota-lekki-lagos-5MCHT," Updated 31 Oct 2025, Added 31 Oct 2024"
 Newly Built 4 Bedroom Fully Detached Duplex With Bq ,"₦ 160,000,000",Orchid Lekki Lagos, 4 Beds 4 Baths ,Newly Built 4 Bedroom Fully Detached Duplex With Bq,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-orchid-lekki-lagos-6NQZE," Updated 31 Oct 2025, Added 09 Oct 2025"
 Luxury 4 Bedroom Semi Detached Duplex ,"₦ 150,000,000",Lekki Scheme 2 Ajah Lagos, 4 Beds 4 Baths ,Luxury 4 Bedroom Semi Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-lekki-scheme-2-ajah-lagos-3NRZW," Updated 31 Oct 2025, Added 19 Oct 2025"
 Gorgeous 5 Bedroom Detached Duplex ,"₦ 380,000,000",Osapa London Lekki Lagos, 5 Beds 5 Baths ,Gorgeous 5 Bedroom Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-6NRCX," Updated 31 Oct 2025, Added 11 Oct 2025"
 3 Bedroom Detached Duplex ,"₦ 180,000,000",Ajah Lagos, 3 Beds 3 Baths ,3 Bedroom Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/3-bedroom-house-for-sale-ajah-lagos-0MGLM," Updated 31 Oct 2025, Added 15 Dec 2024"
 Luxuriously Designed Fully Detached 4bedroom Duplex ," ₦ 385,000,000 ","Yemoja Estate, Oluyole Estate Oluyole Estate Ibadan Oyo", 4 Beds 5 Baths ,Luxuriously Designed Fully Detached 4bedroom Duplex,"
               RokenProperties Ltd 
             ",/property/4-bedroom-house-for-sale-yemoja-estate-oluyole-estate-oluyole-estate-ibadan-oyo-8NREQ,"Updated 31 Oct 2025, Added 12 Oct 2025"
 4 Bedroom Terraced Duplex ,"₦ 300,000,000",Ikeja Lagos, 4 Beds 4 Baths ,4 Bedroom Terraced Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ikeja-lagos-0MFZR," Updated 31 Oct 2025, Added 10 Dec 2024"
 4 Bedroom Semi Detached Duplex ,"₦ 120,000,000",Ikota Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Semi Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ikota-lekki-lagos-0MGEX," Updated 31 Oct 2025, Added 12 Dec 2024"
 Luxury 5 Bedroom Fully Detached Duplex ,"₦ 700,000,000",Lekki Phase 1 Lekki Lagos, 5 Beds 5 Baths ,Luxury 5 Bedroom Fully Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-2MCJD," Updated 31 Oct 2025, Added 01 Nov 2024"
 5 Bedroom Fully Detached Duplex ,"₦ 190,000,000",Ajah Lagos, 5 Beds 5 Baths ,5 Bedroom Fully Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/5-bedroom-house-for-sale-ajah-lagos-0MCJA," Updated 31 Oct 2025, Added 31 Oct 2024"
 5 Bedroom Fully Detached Duplex ,"₦ 250,000,000",Ado Ajah Lagos, 5 Beds 5 Baths ,5 Bedroom Fully Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/5-bedroom-house-for-sale-ado-ajah-lagos-3MCHX," Updated 31 Oct 2025, Added 31 Oct 2024"
 5 Bedroom Detached Duplex ,"₦ 470,000,000",Ikeja Lagos, 5 Beds 5 Baths ,5 Bedroom Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/5-bedroom-house-for-sale-ikeja-lagos-9MCHZ," Updated 31 Oct 2025, Added 31 Oct 2024"
 Well Built 3 Bedroom Apartment ,"₦ 140,000,000",Ikate Lekki Lagos, 3 Beds 3 Baths ,Well Built 3 Bedroom Apartment,"
               LAOASISGLOBAL 
             ",/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-1NRDS," Updated 31 Oct 2025, Added 11 Oct 2025"
 Land ,"₦ 900,000,000",Chevron Lekki Lagos, ,Land,"
               LAOASISGLOBAL 
             ",/property/land-for-sale-chevron-lekki-lagos-7NRRY," Updated 31 Oct 2025, Added 15 Oct 2025"
 4 Bedroom Terraced Duplex ,"₦ 325,000,000",Ikeja Lagos, 4 Beds 4 Baths ,4 Bedroom Terraced Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ikeja-lagos-1MGFB," Updated 31 Oct 2025, Added 12 Dec 2024"
 4 Bedroom Terraced Duplex ,"₦ 110,000,000",Ikota Lekki Lagos, 4 Beds 4 Baths ,4 Bedroom Terraced Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-ikota-lekki-lagos-6MGEW," Updated 31 Oct 2025, Added 12 Dec 2024"
 4 Bedroom Terraced Detached Duplex ,"₦ 170,000,000",Surulere Lagos, 4 Beds 4 Baths ,4 Bedroom Terraced Detached Duplex,"
               LAOASISGLOBAL 
             ",/property/4-bedroom-house-for-sale-surulere-lagos-7MCHY," Updated 31 Oct 2025, Added 31 Oct 2024"
 Ultra Luxurious Waterfront 2/3/4 Bedroom Apartment ," ₦ 390,000,000 ","Royal Palm Drive, Osbourne Phase Ii, Osborne Foreshore Estate Ikoyi Lagos", 2 Beds 2 Baths ,Ultra Luxurious Waterfront 2/3/4 Bedroom Apartment,"
               Fort Knox 
             ",/property/2-bedroom-flat-apartment-for-sale-royal-palm-drive-osbourne-phase-ii-osborne-foreshore-estate-ikoyi-lagos-1MDFQ,"Updated 31 Oct 2025, Added 11 Nov 2024"
 Olivia's Place 2 Bedroom Apartment ,"₦ 48,000,000",Federal Housing Estate Lugbe Abuja, 2 Beds 2 Baths ,Olivia's Place 2 Bedroom Apartment,"
               TERRA DEVELOPERS 
             ",/property/2-bedroom-house-for-sale-federal-housing-estate-lugbe-abuja-5NNWJ," Updated 31 Oct 2025, Added 19 Sep 2025"
 Olivia Gardens 2 Bedroom Maisonette With Bq ,"₦ 100,000,000","Samuel Street, Ogudu Ogudu Lagos", 2 Beds 3 Baths ,Olivia Gardens 2 Bedroom Maisonette With Bq,"
               TERRA DEVELOPERS 
             ",/property/2-bedroom-house-for-sale-samuel-street-ogudu-ogudu-lagos-4NNTG," Updated 31 Oct 2025, Added 18 Sep 2025"
